Country,product1,product2,correlation,Amount_of_datapoints
South Sudan,Fuel (petrol-gasoline),Maize,0.7584,59
South Sudan,Fuel (petrol-gasoline),Beans,0.814,59
South Sudan,Fuel (petrol-gasoline),Oil,0.8301,45
South Sudan,Fuel (petrol-gasoline),Groundnuts,0.7628,56
South Sudan,Fuel (petrol-gasoline),Sorghum,0.8213,59
South Sudan,Fuel (petrol-gasoline),Millet,0.8507,48
South Sudan,Fuel (petrol-gasoline),Sesame,0.8496,54
South Sudan,Fuel (petrol-gasoline),Cassava,0.7953,54
South Sudan,Exchange rate (unofficial),Maize,0.9455,45
South Sudan,Exchange rate (unofficial),Beans,0.8244,45
South Sudan,Exchange rate (unofficial),Oil,0.9214,45
South Sudan,Exchange rate (unofficial),Groundnuts,0.8825,45
South Sudan,Exchange rate (unofficial),Sorghum,0.8851,45
South Sudan,Exchange rate (unofficial),Sesame,0.8601,44
South Sudan,Flour,Maize,0.9479,86
South Sudan,Flour,Beans,0.855,84
South Sudan,Flour,Sorghum,0.9471,86
South Sudan,Flour,Millet,0.9043,75
South Sudan,Flour,Sesame,0.8836,81
South Sudan,Flour,Cassava,0.8422,77
South Sudan,Maize,Beans,0.7896,102
South Sudan,Maize,Oil,0.9529,54
South Sudan,Maize,Sorghum,0.9476,121
South Sudan,Maize,Millet,0.8877,110
South Sudan,Maize,Sesame,0.8972,116
South Sudan,Maize,Cassava,0.8159,86
South Sudan,Beans,Oil,0.9084,54
South Sudan,Beans,Sorghum,0.8792,102
South Sudan,Beans,Millet,0.8657,91
South Sudan,Beans,Sesame,0.8793,97
South Sudan,Beans,Cassava,0.843,86
South Sudan,Oil,Groundnuts,0.9182,54
South Sudan,Oil,Sorghum,0.9666,54
South Sudan,Oil,Millet,0.9513,47
South Sudan,Oil,Sesame,0.9285,52
South Sudan,Oil,Cassava,0.8916,43
South Sudan,Sorghum,Millet,0.956,128
South Sudan,Sorghum,Sesame,0.9427,120
South Sudan,Sorghum,Cassava,0.8546,86
South Sudan,Millet,Sesame,0.9301,114
South Sudan,Millet,Cassava,0.8387,80
South Sudan,Sesame,Cassava,0.8554,86
