correlation,country,n,combinations
0.787 & 0.8076 & 0.8440000000000001,Armenia & Philippines & Turkey,3,Fish & Meat
0.7522,Armenia,1,Fish & Cheese
0.7577,Colombia,1,Fish & Bananas
0.7948,Colombia,1,Fish & Fuel (petrol-gasoline)
0.8685,Colombia,1,Fish & Flour
0.8672,Congo,1,Fish & Groundnuts
0.8174,Colombia,1,Fish & Cocoa
0.8766,Turkey,1,Fish & Coffee
0.8614,Turkey,1,Fish & Salt
0.857,Democratic Republic of the Congo,1,Fish & Transport (public)
0.8079999999999999,Turkey,1,Fish & Bulgur
0.8183,Turkey,1,Fish & Cocoa (powder)
0.7768,Jordan,1,Apples & Eggs
0.7861,Armenia,1,Apples & Meat
0.7766 & 0.9841 & 0.7863,Lebanon & Guatemala & Kenya,3,Milk & Bread
0.7651 & 0.7594,Tajikistan & Indonesia,2,Milk & Wheat
0.8824,Tajikistan,1,Milk & Rice
0.7995,Colombia,1,Milk & Fuel (diesel)
0.8966,Colombia,1,Milk & Beans
0.9209,Guatemala,1,Milk & Potatoes
0.9439 & 0.8127 & 0.7746,Guatemala & Tajikistan & Indonesia,3,Milk & Eggs
0.9587 & 0.9052 & 0.8333 & 0.9940000000000001 & 0.9405,Guatemala & Tajikistan & Ukraine & Jordan & Lebanon,5,Milk & Meat
0.8219 & 0.8015 & 0.7827 & 0.7587,Guatemala & Indonesia & Tajikistan & Lebanon,4,Milk & Sugar
0.7565,Turkey,1,Milk & Lentils
0.9753,Guatemala,1,Milk & Pasta
0.8271 & 0.8482,Guatemala & Turkey,2,Milk & Tomatoes
0.9778 & 0.8147 & 0.8494 & 0.7823 & 0.8565,Guatemala & Indonesia & Tajikistan & Lebanon & Turkey,5,Milk & Oil
0.9849 & 0.7757,Guatemala & Colombia,2,Milk & Cheese
0.813,Guatemala,1,Milk & Onions
0.9652 & 0.7782,Guatemala & Colombia,2,Milk & Bananas
0.7712 & 0.7795,Ukraine & Colombia,2,Milk & Fuel (petrol-gasoline)
0.8563,Colombia,1,Milk & Flour
0.9098,Indonesia,1,Milk & Fuel (kerosene)
0.792,Tajikistan,1,Milk & Maize
0.9667,Guatemala,1,Milk & Plantains
0.7747,Colombia,1,Milk & Cocoa
0.8995 & 0.9883,Guatemala & Colombia,2,Milk & Coffee
0.9804 & 0.7702,Guatemala & Tajikistan,2,Milk & Salt
0.9862,Guatemala,1,Milk & Tortilla (maize)
0.9885,Ukraine,1,Milk & Butter
0.9532,Ukraine,1,Milk & Curd
0.9981,Ukraine,1,Milk & Sour cream
0.9689 & 0.9403 & 0.8268 & 0.7536 & 0.8602,Iraq & Lesotho & Turkey & Ukraine & Tajikistan,5,Flour & Bread
0.9749 & 0.9052 & 0.965,India & Yemen & Tajikistan,3,Flour & Wheat
0.8128 & 0.8173 & 0.8151 & 0.8623 & 0.8744 & 0.9329999999999999 & 0.7742 & 0.9065 & 0.8798,Cape Verde & Colombia & Pakistan & Yemen & Haiti & Mozambique & Tajikistan & Turkey & Ukraine,9,Flour & Rice
0.8906,Colombia,1,Flour & Wage
0.9419 & 0.8926 & 0.8374 & 0.9655 & 0.8154 & 0.7724 & 0.8943,Colombia & Democratic Republic of the Congo & Pakistan & Sri Lanka & Ukraine & Yemen & South Sudan,7,Flour & Fuel (diesel)
0.8472 & 0.7723 & 0.855 & 0.8111 & 0.8372,Turkey & Yemen & South Sudan & Burundi & Democratic Republic of the Congo,5,Flour & Beans
0.7789,Tajikistan,1,Flour & Eggs
0.8944 & 0.8658,Peru & Tajikistan,2,Flour & Meat
0.9484 & 0.848 & 0.965,Madagascar & Mozambique & Turkey,3,Flour & Sugar
0.8722,Yemen,1,Flour & Lentils
0.8195 & 0.9666 & 0.8432 & 0.9672,Armenia & Turkey & Egypt & Ukraine,4,Flour & Pasta
0.7723 & 0.9579 & 0.8373 & 0.9147 & 0.8694 & 0.8945 & 0.935 & 0.9097,Colombia & Lesotho & Madagascar & Swaziland  & Syrian Arab Republic & Mozambique & Peru & Tajikistan,8,Flour & Oil
0.8103 & 0.8867,Armenia & Colombia,2,Flour & Cheese
0.8846,Colombia,1,Flour & Bananas
0.9319 & 0.8903 & 0.7771 & 0.8105 & 0.8028,Colombia & Sri Lanka & Ukraine & Yemen & South Sudan,5,Flour & Fuel (petrol-gasoline)
0.8685,Colombia,1,Flour & Fish
0.8563,Colombia,1,Flour & Milk
0.9471,South Sudan,1,Flour & Sorghum
0.8058 & 0.9479 & 0.8753 & 0.9276 & 0.9219 & 0.7621,Swaziland  & South Sudan & Democratic Republic of the Congo & Peru & Tajikistan & Ugand a,6,Flour & Maize
0.9043 & 0.8221,South Sudan & Ugand a,2,Flour & Millet
0.8929 & 0.915,Burundi & Rwand a,2,Flour & Sweet potatoes
0.8836,South Sudan,1,Flour & Sesame
0.7665 & 0.8422,Democratic Republic of the Congo & South Sudan,2,Flour & Cassava
0.9416,Colombia,1,Flour & Cocoa
0.8465,Turkey,1,Flour & Coffee
0.7676 & 0.8388 & 0.8917 & 0.8393,Swaziland  & Tajikistan & Turkey & Yemen,4,Flour & Salt
0.7639,Colombia,1,Flour & Chickpeas
0.9357,Democratic Republic of the Congo,1,Flour & Transport (public)
0.9627,Turkey,1,Flour & Bulgur
0.8193,Syrian Arab Republic,1,Flour & Fuel (gas)
0.9385,Turkey,1,Flour & Cocoa (powder)
0.9999,Jordan,1,Cucumbers & Beans
0.9999,Jordan,1,Cucumbers & Sugar
0.8891 & 0.9998,Armenia & Jordan,2,Cucumbers & Tomatoes
0.9997,Jordan,1,Cucumbers & Garlic
0.8443,Indonesia,1,Fuel (kerosene) & Wheat
0.8598,Indonesia,1,Fuel (kerosene) & Rice
0.9167,Indonesia,1,Fuel (kerosene) & Eggs
0.8747,Indonesia,1,Fuel (kerosene) & Meat
0.9081,Indonesia,1,Fuel (kerosene) & Sugar
0.9098,Indonesia,1,Fuel (kerosene) & Milk
0.8544,Ethiopia,1,Sorghum & Wheat
0.7652 & 0.8645 & 0.8557,Burkina Faso & Benin & Nigeria,3,Sorghum & Rice
0.9044,South Sudan,1,Sorghum & Fuel (diesel)
0.7887 & 0.8651 & 0.7551 & 0.8792,Kenya & Niger & Cameroon & South Sudan,4,Sorghum & Beans
0.9666,South Sudan,1,Sorghum & Oil
0.8213,South Sudan,1,Sorghum & Fuel (petrol-gasoline)
0.9471,South Sudan,1,Sorghum & Flour
0.8032 & 0.8892 & 0.8771 & 0.9493 & 0.8275 & 0.8588 & 0.9079 & 0.9621 & 0.9825 & 0.8829 & 0.9476,Benin & Ethiopia & Kenya & Burkina Faso & Cameroon & Chad & Mali & Niger & Nigeria & Senegal & South Sudan,11,Sorghum & Maize
0.9687 & 0.7501 & 0.9732 & 0.9818 & 0.9833 & 0.9708 & 0.9712 & 0.956 & 0.9385,Burkina Faso & Guinea-Bissau & Mali & Niger & Nigeria & Senegal & Sudan & South Sudan & Chad,9,Sorghum & Millet
0.9427,South Sudan,1,Sorghum & Sesame
0.8546,South Sudan,1,Sorghum & Cassava
0.8851,South Sudan,1,Sorghum & Exchange rate (unofficial)
0.7647 & 0.7692,Tajikistan & Guatemala,2,Maize & Bread
0.9048 & 0.9563,Ethiopia & Tajikistan,2,Maize & Wheat
0.8213 & 0.7665 & 0.8169 & 0.7679 & 0.7964 & 0.8959999999999999 & 0.8501 & 0.8383 & 0.9452 & 0.7964,Burkina Faso & Colombia & Costa Rica & Mali & Niger & Nigeria & Senegal & Tajikistan & Timor-Leste & Guatemala,10,Maize & Rice
0.8428,South Sudan,1,Maize & Fuel (diesel)
0.8331 & 0.8406 & 0.7896 & 0.7573,Kenya & Niger & South Sudan & Guatemala,4,Maize & Beans
0.7861,Tajikistan,1,Maize & Eggs
0.9125 & 0.9044,Peru & Tajikistan,2,Maize & Meat
0.7929,Tajikistan,1,Maize & Sugar
0.8145 & 0.9343 & 0.9529,Peru & Tajikistan & South Sudan,3,Maize & Oil
0.7699,Tajikistan,1,Maize & Carrots
0.7584,South Sudan,1,Maize & Fuel (petrol-gasoline)
0.792,Tajikistan,1,Maize & Milk
0.8753 & 0.9276 & 0.9219 & 0.7621 & 0.8058 & 0.9479,Democratic Republic of the Congo & Peru & Tajikistan & Ugand a & Swaziland  & South Sudan,6,Maize & Flour
0.9493 & 0.8275 & 0.8588 & 0.9079 & 0.9621 & 0.9825 & 0.8829 & 0.9476 & 0.8032 & 0.8892 & 0.8771,Burkina Faso & Cameroon & Chad & Mali & Niger & Nigeria & Senegal & South Sudan & Benin & Ethiopia & Kenya,11,Maize & Sorghum
0.8256 & 0.9082 & 0.8922 & 0.8278 & 0.8716 & 0.9605 & 0.9725 & 0.882 & 0.8877,Benin & Burkina Faso & Chad & Gambia & Mali & Niger & Nigeria & Senegal & South Sudan,9,Maize & Millet
0.8972,South Sudan,1,Maize & Sesame
0.8159,South Sudan,1,Maize & Cassava
0.8509,Tajikistan,1,Maize & Salt
0.8301,Democratic Republic of the Congo,1,Maize & Transport (public)
0.9455,South Sudan,1,Maize & Exchange rate (unofficial)
0.8577,Sudan,1,Millet & Wheat
0.8387 & 0.8618 & 0.7653,Burkina Faso & Nigeria & Senegal,3,Millet & Rice
0.9138,South Sudan,1,Millet & Fuel (diesel)
0.8937 & 0.8657,Niger & South Sudan,2,Millet & Beans
0.9513,South Sudan,1,Millet & Oil
0.8507,South Sudan,1,Millet & Fuel (petrol-gasoline)
0.8221 & 0.9043,Ugand a & South Sudan,2,Millet & Flour
0.9385 & 0.9687 & 0.7501 & 0.9732 & 0.9818 & 0.9833 & 0.9708 & 0.9712 & 0.956,Chad & Burkina Faso & Guinea-Bissau & Mali & Niger & Nigeria & Senegal & Sudan & South Sudan,9,Millet & Sorghum
0.8256 & 0.9082 & 0.8922 & 0.8278 & 0.8716 & 0.9605 & 0.9725 & 0.882 & 0.8877,Benin & Burkina Faso & Chad & Gambia & Mali & Niger & Nigeria & Senegal & South Sudan,9,Millet & Maize
0.9301,South Sudan,1,Millet & Sesame
0.7596 & 0.8387,Central African Republic & South Sudan,2,Millet & Cassava
0.9392,Bolivia,1,Noodles & Rice
0.7694,Philippines,1,Sweet potatoes & Eggs
0.8929 & 0.915,Burundi & Rwand a,2,Sweet potatoes & Flour
0.787,Rwand a,1,Sweet potatoes & Cassava
0.76 & 0.795,Mozambique & Zambia,2,Groundnuts & Rice
0.8405,South Sudan,1,Groundnuts & Fuel (diesel)
0.879 & 0.8373,Zambia & Mozambique,2,Groundnuts & Beans
0.7781,Mozambique,1,Groundnuts & Sugar
0.9182,South Sudan,1,Groundnuts & Oil
0.7628,South Sudan,1,Groundnuts & Fuel (petrol-gasoline)
0.8672,Congo,1,Groundnuts & Fish
0.8825,South Sudan,1,Groundnuts & Exchange rate (unofficial)
0.9276,South Sudan,1,Sesame & Fuel (diesel)
0.8793,South Sudan,1,Sesame & Beans
0.9285,South Sudan,1,Sesame & Oil
0.8496,South Sudan,1,Sesame & Fuel (petrol-gasoline)
0.8836,South Sudan,1,Sesame & Flour
0.9427,South Sudan,1,Sesame & Sorghum
0.8972,South Sudan,1,Sesame & Maize
0.9301,South Sudan,1,Sesame & Millet
0.8554,South Sudan,1,Sesame & Cassava
0.8601,South Sudan,1,Sesame & Exchange rate (unofficial)
0.7819,Colombia,1,Peas & Wage
0.7873,Colombia,1,Peas & Fuel (diesel)
0.7935,Lesotho,1,Peas & Beans
0.8390000000000001,Colombia,1,Peas & Cheese
0.7679,Colombia,1,Peas & Bananas
0.7917,Colombia,1,Peas & Fuel (petrol-gasoline)
0.8288,Liberia,1,Cassava & Rice
0.8846,South Sudan,1,Cassava & Fuel (diesel)
0.843,South Sudan,1,Cassava & Beans
0.8916,South Sudan,1,Cassava & Oil
0.7953,South Sudan,1,Cassava & Fuel (petrol-gasoline)
0.7665 & 0.8422,Democratic Republic of the Congo & South Sudan,2,Cassava & Flour
0.8546,South Sudan,1,Cassava & Sorghum
0.8159,South Sudan,1,Cassava & Maize
0.7596 & 0.8387,Central African Republic & South Sudan,2,Cassava & Millet
0.787,Rwand a,1,Cassava & Sweet potatoes
0.8554,South Sudan,1,Cassava & Sesame
0.7783,Liberia,1,Cassava & Cowpeas
0.9998,Jordan,1,Garlic & Beans
0.9999,Jordan,1,Garlic & Sugar
0.9997,Jordan,1,Garlic & Tomatoes
0.9997,Jordan,1,Garlic & Cucumbers
0.8141,Myanmar,1,Garlic & Chickpeas
0.9553,Guatemala,1,Plantains & Bread
0.9522,Guatemala,1,Plantains & Potatoes
0.9584,Guatemala,1,Plantains & Eggs
0.9864,Guatemala,1,Plantains & Meat
0.7514,Guatemala,1,Plantains & Sugar
0.941,Guatemala,1,Plantains & Pasta
0.8754,Guatemala,1,Plantains & Tomatoes
0.938,Guatemala,1,Plantains & Oil
0.991,Guatemala,1,Plantains & Cheese
0.8968,Guatemala,1,Plantains & Onions
0.9944,Guatemala,1,Plantains & Bananas
0.9667,Guatemala,1,Plantains & Milk
0.8269,Guatemala,1,Plantains & Coffee
0.976,Guatemala,1,Plantains & Salt
0.9593,Guatemala,1,Plantains & Tortilla (maize)
0.8911,Colombia,1,Cocoa & Wage
0.9464,Colombia,1,Cocoa & Fuel (diesel)
0.9036,Colombia,1,Cocoa & Cheese
0.8709,Colombia,1,Cocoa & Bananas
0.9354,Colombia,1,Cocoa & Fuel (petrol-gasoline)
0.8174,Colombia,1,Cocoa & Fish
0.7747,Colombia,1,Cocoa & Milk
0.9416,Colombia,1,Cocoa & Flour
0.9427 & 0.9049,Guatemala & Turkey,2,Coffee & Bread
0.7989,Turkey,1,Coffee & Beans
0.8383,Guatemala,1,Coffee & Eggs
0.8322 & 0.8502,Guatemala & Turkey,2,Coffee & Meat
0.9387 & 0.8935,Guatemala & Turkey,2,Coffee & Sugar
0.9186 & 0.7532,Guatemala & Turkey,2,Coffee & Pasta
0.9249,Guatemala,1,Coffee & Oil
0.8702,Guatemala,1,Coffee & Cheese
0.8341,Guatemala,1,Coffee & Bananas
0.8766,Turkey,1,Coffee & Fish
0.9883 & 0.8995,Colombia & Guatemala,2,Coffee & Milk
0.8465,Turkey,1,Coffee & Flour
0.8269,Guatemala,1,Coffee & Plantains
0.909 & 0.9790000000000001,Guatemala & Turkey,2,Coffee & Salt
0.9359,Guatemala,1,Coffee & Tortilla (maize)
0.9233,Turkey,1,Coffee & Bulgur
0.9478,Turkey,1,Coffee & Cocoa (powder)
0.9897 & 0.7588 & 0.9221,Guatemala & Tajikistan & Turkey,3,Salt & Bread
0.8361,Tajikistan,1,Salt & Wheat
0.9195 & 0.8775 & 0.9265,Myanmar & Tajikistan & Yemen,3,Salt & Rice
0.8032 & 0.8229,Swaziland  & Turkey,2,Salt & Beans
0.9183 & 0.7602,Guatemala & Tajikistan,2,Salt & Potatoes
0.9691 & 0.7789,Guatemala & Tajikistan,2,Salt & Eggs
0.9775 & 0.8864 & 0.8532,Guatemala & Tajikistan & Turkey,3,Salt & Meat
0.8433 & 0.7716 & 0.9145,Guatemala & Tajikistan & Turkey,3,Salt & Sugar
0.8948,Yemen,1,Salt & Lentils
0.9613 & 0.7986,Guatemala & Turkey,2,Salt & Pasta
0.8428,Guatemala,1,Salt & Tomatoes
0.9709 & 0.8875 & 0.8527 & 0.8208,Guatemala & Myanmar & Swaziland  & Tajikistan,4,Salt & Oil
0.9890000000000001,Guatemala,1,Salt & Cheese
0.8491,Guatemala,1,Salt & Onions
0.9805,Guatemala,1,Salt & Bananas
0.8614,Turkey,1,Salt & Fish
0.9804 & 0.7702,Guatemala & Tajikistan,2,Salt & Milk
0.7676 & 0.8388 & 0.8917 & 0.8393,Swaziland  & Tajikistan & Turkey & Yemen,4,Salt & Flour
0.8509,Tajikistan,1,Salt & Maize
0.976,Guatemala,1,Salt & Plantains
0.909 & 0.9790000000000001,Guatemala & Turkey,2,Salt & Coffee
0.8828,Myanmar,1,Salt & Chickpeas
0.9840000000000001,Guatemala,1,Salt & Tortilla (maize)
0.9465,Turkey,1,Salt & Bulgur
0.9665,Turkey,1,Salt & Cocoa (powder)
0.8340000000000001,State of Palestine,1,Chickpeas & Bread
0.9336,Myanmar,1,Chickpeas & Rice
0.821,Colombia,1,Chickpeas & Sugar
0.9394,Myanmar,1,Chickpeas & Oil
0.7639,Colombia,1,Chickpeas & Flour
0.8141,Myanmar,1,Chickpeas & Garlic
0.8828,Myanmar,1,Chickpeas & Salt
0.8054,Myanmar,1,Chickpeas & Pulses
0.8435,State of Palestine,1,Chickpeas & Water
0.8192,Rwand a,1,Spinach & Peppers (green)
0.8281,Rwand a,1,Spinach & Eggplants
0.7532,Nigeria,1,Yam & Oil
0.9194,Democratic Republic of the Congo,1,Transport (public) & Rice
0.8752,Democratic Republic of the Congo,1,Transport (public) & Fuel (diesel)
0.9666,Democratic Republic of the Congo,1,Transport (public) & Beans
0.9213,Democratic Republic of the Congo,1,Transport (public) & Meat
0.857,Democratic Republic of the Congo,1,Transport (public) & Fish
0.9357,Democratic Republic of the Congo,1,Transport (public) & Flour
0.8301,Democratic Republic of the Congo,1,Transport (public) & Maize
0.9767,Guatemala,1,Tortilla (maize) & Bread
0.8140000000000001,Guatemala,1,Tortilla (maize) & Rice
0.8,Guatemala,1,Tortilla (maize) & Beans
0.8926,Guatemala,1,Tortilla (maize) & Potatoes
0.9314,Guatemala,1,Tortilla (maize) & Eggs
0.9601,Guatemala,1,Tortilla (maize) & Meat
0.8687,Guatemala,1,Tortilla (maize) & Sugar
0.9798,Guatemala,1,Tortilla (maize) & Pasta
0.8341,Guatemala,1,Tortilla (maize) & Tomatoes
0.9763,Guatemala,1,Tortilla (maize) & Oil
0.9801,Guatemala,1,Tortilla (maize) & Cheese
0.8169,Guatemala,1,Tortilla (maize) & Onions
0.9599,Guatemala,1,Tortilla (maize) & Bananas
0.9862,Guatemala,1,Tortilla (maize) & Milk
0.9593,Guatemala,1,Tortilla (maize) & Plantains
0.9359,Guatemala,1,Tortilla (maize) & Coffee
0.9840000000000001,Guatemala,1,Tortilla (maize) & Salt
0.905,Pakistan,1,Butter & Rice
0.9437,Pakistan,1,Butter & Fuel (diesel)
0.7601,Ukraine,1,Butter & Meat
0.9927,Pakistan,1,Butter & Oil
0.9885,Ukraine,1,Butter & Milk
0.9238,Ukraine,1,Butter & Curd
0.9886,Ukraine,1,Butter & Sour cream
0.8054,Myanmar,1,Pulses & Chickpeas
0.9089,Turkey,1,Bulgur & Bread
0.8652,Turkey,1,Bulgur & Rice
0.8789,Turkey,1,Bulgur & Beans
0.9439,Turkey,1,Bulgur & Sugar
0.9168,Turkey,1,Bulgur & Pasta
0.8079999999999999,Turkey,1,Bulgur & Fish
0.9627,Turkey,1,Bulgur & Flour
0.9233,Turkey,1,Bulgur & Coffee
0.9465,Turkey,1,Bulgur & Salt
0.9889,Turkey,1,Bulgur & Cocoa (powder)
0.7783,Liberia,1,Cowpeas & Cassava
0.8192,Rwand a,1,Peppers (green) & Spinach
0.8133,Rwand a,1,Peppers (green) & Eggplants
0.7824,Rwand a,1,Eggplants & Potatoes
0.8281,Rwand a,1,Eggplants & Spinach
0.8133,Rwand a,1,Eggplants & Peppers (green)
0.7527,Rwand a,1,Eggplants & Passion fruit
0.7527,Rwand a,1,Passion fruit & Eggplants
0.7597,Syrian Arab Republic,1,Fuel (gas) & Rice
0.8313,Syrian Arab Republic,1,Fuel (gas) & Oil
0.8193,Syrian Arab Republic,1,Fuel (gas) & Flour
0.9205,Turkey,1,Cocoa (powder) & Bread
0.81,Turkey,1,Cocoa (powder) & Rice
0.863,Turkey,1,Cocoa (powder) & Beans
0.9374,Turkey,1,Cocoa (powder) & Sugar
0.8872,Turkey,1,Cocoa (powder) & Pasta
0.8183,Turkey,1,Cocoa (powder) & Fish
0.9385,Turkey,1,Cocoa (powder) & Flour
0.9478,Turkey,1,Cocoa (powder) & Coffee
0.9665,Turkey,1,Cocoa (powder) & Salt
0.9889,Turkey,1,Cocoa (powder) & Bulgur
0.9429,State of Palestine,1,Water & Bread
0.8435,State of Palestine,1,Water & Chickpeas
0.8394,Ukraine,1,Curd & Fuel (diesel)
0.9279,Ukraine,1,Curd & Meat
0.8321,Ukraine,1,Curd & Sugar
0.8965,Ukraine,1,Curd & Fuel (petrol-gasoline)
0.9532,Ukraine,1,Curd & Milk
0.9238,Ukraine,1,Curd & Butter
0.9562,Ukraine,1,Curd & Sour cream
0.754,Ukraine,1,Curd & Fat (salo)
0.8299,Ukraine,1,Sour cream & Meat
0.7502,Ukraine,1,Sour cream & Sugar
0.7733,Ukraine,1,Sour cream & Fuel (petrol-gasoline)
0.9981,Ukraine,1,Sour cream & Milk
0.9886,Ukraine,1,Sour cream & Butter
0.9562,Ukraine,1,Sour cream & Curd
0.9359999999999999,Ukraine,1,Beetroots & Carrots
0.7669,Ukraine,1,Fat (salo) & Bread
0.7795,Ukraine,1,Fat (salo) & Eggs
0.8921,Ukraine,1,Fat (salo) & Meat
0.774,Ukraine,1,Fat (salo) & Fuel (petrol-gasoline)
0.754,Ukraine,1,Fat (salo) & Curd
0.8116,State of Palestine,1,Labaneh & Tea
0.8244,South Sudan,1,Exchange rate (unofficial) & Beans
0.9214,South Sudan,1,Exchange rate (unofficial) & Oil
0.8851,South Sudan,1,Exchange rate (unofficial) & Sorghum
0.9455,South Sudan,1,Exchange rate (unofficial) & Maize
0.8825,South Sudan,1,Exchange rate (unofficial) & Groundnuts
0.8601,South Sudan,1,Exchange rate (unofficial) & Sesame
